k_h_Mpc,P_delta_delta_z0,P_delta_delta_z0.5,P_delta_delta_z1,P_delta_delta_z2,P_delta_delta_z3,P_delta_delta_z4
0.0006681209156888229,2696.838489937284,1783.2288707621099,1220.6274607279888,593.8463141272144,322.639382475576,202.09745016025695
0.00069902784227105,2690.424517100444,1798.5306548530975,1242.4561800041222,613.9480667439988,337.1745023027357,212.55771644304187
0.0007313645072259703,2672.3774739280084,1806.2398345815723,1259.4894728340623,632.4422741617559,351.3091256863664,222.99901802147838
0.0007651970495081932,2642.9360018169214,1806.1585287280723,1271.3992059782138,649.0469678669374,364.8713713058983,233.3192662711492
0.0008005946676260214,2602.5552989960397,1798.2311118561076,1277.939313678895,663.4943688499972,377.6832884864618,243.40736100984822
0.0008376297611748131,2551.901126151563,1782.5522851791668,1278.9574847651556,675.5391457740706,389.5646413133949,253.1446866331478
0.0008763780789176095,2491.800877838549,1759.351829325756,1274.3941234187334,684.9635955331116,400.3362432477488,262.40680651406603
0.0009169188737158896,2423.25578308211,1729.0139528891398,1264.3017564824095,691.5905564538596,409.82677351765216,271.0668771460205
0.0009593350646273477,2347.354436183937,1692.030395338957,1248.823142661506,695.2816958288902,417.87431220544545,278.99691382523423
0.0010037134065022234,2265.2879970386743,1649.023552657568,1228.2145815037045,695.953647176603,424.33600017058154,286.07330209870884
0.0010501446674250734,2178.2617590995665,1600.6841652898227,1202.8087526675693,693.5695769171808,429.08720501244846,292.1773243708543
0.001098723814364908,2087.492102632059,1547.7826404763719,1173.0318766404866,688.154949578865,432.0323044226217,297.2020488128142
0.0011495502074134033,1994.1499098694549,1491.1157533432297,1139.3648766926751,679.7848659355278,433.10216981774033,301.0523802620683
0.001202727803008476,1899.3363324475715,1431.4967395371946,1102.3437621713256,668.5928312538749,432.2629648766531,303.6516010716579
0.001258365366558873,1804.062916268343,1369.724788203637,1062.5321571923666,654.7592687897742,429.5136241803434,304.9417387755403
0.0013165766949046636,1709.2258064280643,1306.5606358393422,1020.5048735264821,638.5094171678452,424.8890548611006,304.8876534795348
0.001377480849068641,1615.6036113452808,1242.7149645367056,976.8344690878104,620.1065963287801,418.4594872951206,303.4786097431373
0.0014412023977746792,1523.8529561797063,1178.8282171267315,932.0673825541836,599.8383756621845,410.32593140276765,300.7276270485195
0.0015078716722311274,1434.5048431396283,1115.4645632839204,886.7180685404841,578.014879307661,400.622154270833,296.6747255038709
0.0015776250327003472,1347.9859061439076,1053.110112285931,841.2534927737065,554.9492860021135,389.5029441233377,291.38111204847087
0.001650605147399619,1264.6096181547782,992.1640620874189,796.0866437500482,530.9574629625455,377.14722080479527,284.93344996717775
0.0017269612843038662,1184.6093257077096,932.9549553416559,751.5766466976258,506.3416406712211,363.7435442117702,277.4342826254186
0.0018068496164470066,1108.1323809666003,875.7328099519584,708.0207848031317,481.38742578286605,349.4913723393753,269.0050957566637
