ell,TT_total_muK2,EE_total_muK2,BB_total_muK2,TE_total_muK2,TT_unlensed_scalar_muK2,EE_unlensed_scalar_muK2,TE_unlensed_scalar_muK2,cl_phiphi,cl_phit_muK,cl_phie_muK
45,26.665130331005525,0.00010281077081360805,2.67653989442333e-10,-0.017787501145385427,26.6651282827793,0.00010281062395412502,-0.017787488012003853,1.7668719892210865e-16,3.5019296037017675e-08,-2.4255358698662786e-11
46,25.734634438808683,0.00010576443999606801,2.687694711835703e-10,-0.018190820625967812,25.734632594069254,0.00010576429694508813,-0.01819080740084481,1.552269621455522e-16,3.1907292197471494e-08,-2.3294010822869027e-11
47,24.85558481994411,0.00010879570966256227,2.68953969986417e-10,-0.01857244720922593,24.855583164419237,0.00010879557111698798,-0.018572433916503473,1.3672057081096245e-16,2.9122496231177407e-08,-2.218058681875402e-11
48,24.024187716921237,0.00011185398299069553,2.68230460963208e-10,-0.01893876619732762,24.02418623631547,0.00011185384958838543,-0.018938752861166898,1.207170055371882e-16,2.6625319146066167e-08,-2.1028466843041342e-11
49,23.237042492687582,0.00011489447352652553,2.66626522879234e-10,-0.019295056990091524,23.237041172749898,0.00011489434584242852,-0.019295043634576996,1.0683927127421976e-16,2.4381504678883424e-08,-1.992626067966762e-11
50,22.49122242702489,0.00011790674819467461,2.64174100254305e-10,-0.019645500608113344,22.491221253614462,0.00011790662673750738,-0.01964548725715948,9.47714627392145e-17,2.2361329926891713e-08,-1.8942493646857006e-11
51,21.78400947387013,0.00012088807744869982,2.609092424365663e-10,-0.019992183730026064,21.784008433019885,0.00012088796265819027,-0.019992170407287204,8.424894175801039e-17,2.0538969554685868e-08,-1.8111233796355424e-11
52,21.11246884211802,0.00012384926891987572,2.568718205800443e-10,-0.02033160411034593,21.112467920095682,0.0001238491611645877,-0.020331590839129728,7.50516717995588e-17,1.88919756889192e-08,-1.73888517685766e-11
53,20.473851404351247,0.00012679545042154533,2.5210522563757965e-10,-0.020659979203538337,20.47385058771763,0.00012679534999729798,-0.02065996600672326,6.699412090383984e-17,1.740076467615171e-08,-1.6723468233700405e-11
54,19.865773780953763,0.00012973265678323261,2.4665604884303916e-10,-0.020975923599753067,19.865773056617947,0.00012973256391212075,-0.02097591049971022,5.991858362215713e-17,1.6048162046977302e-08,-1.6073313917025228e-11
55,19.286095110476317,0.00013266914996592995,2.405737465636376e-10,-0.021279046891517578,19.28609446574754,0.0001326690647959472,-0.021279033910037375,5.369080882615557e-17,1.4819094505057244e-08,-1.5405010061853894e-11
56,18.73314364807311,0.00013559683011596903,2.339102930520878e-10,-0.021570558279386545,18.7331430707091,0.00013559675272123238,-0.021570545437610427,4.819665763047274e-17,1.3700402232145775e-08,-1.4703228639635026e-11
