k_h_Mpc,P_delta_delta_z0,P_delta_delta_z0.5,P_delta_delta_z1,P_delta_delta_z2,P_delta_delta_z3,P_delta_delta_z4
0.0023700551181252845,9969.034333350433,6069.752837098913,3837.074965039939,1833.9851162446919,1052.1295926575622,678.3517700227158
0.0024796926370408683,10348.67360057961,6300.927916660804,3983.2385325154714,1903.872085111426,1092.2410455514837,704.2263034227348
0.0025944019306430545,10738.830014747029,6538.509323326167,4133.454095116064,1975.697462472811,1133.4651593487768,730.8188468116975
0.002714417616594907,11139.421895503341,6782.4486296210125,4287.690968393584,2049.4470059428495,1175.7935612289798,758.1240590913884
0.0028399851658507305,11550.326345420597,7032.67074183726,4445.901710193938,2125.0982483906,1219.2137134021423,786.133745392241
0.0029713614047237004,11971.379000793146,7289.074916456568,4608.022733999587,2202.620948941465,1263.7087801200778,814.8369017792552
0.0031088150401788603,12402.363400436794,7551.529822251323,4773.9714895737825,2281.975813674128,1309.2563703628525,844.2191616710558
0.0032526272094259043,12843.01232624095,7819.873850663312,4943.646499468318,2363.1145106795952,1355.828720808168,874.2628212656741
0.0034030920549358488,13293.003103536039,8093.911182650563,5116.924366888895,2445.9782315325156,1403.3922282452393,904.9464018488807
0.0035605173260576544,13751.95543418569,8373.410488173578,5293.658968627346,2530.4973078944076,1451.9072194612204,936.2445009075118
0.003725225008465347,14219.425180015129,8658.10153819403,5473.679657762028,2616.5904685607247,1501.3271921940604,968.1272289920684
0.003897551982723012,14694.89753317968,8947.67105528941,5656.788692446701,2704.163669183284,1551.5980318806198,1000.559652338397
0.004077850713314673,15177.794433988183,9241.767567094597,5842.764134036868,2793.1111375392375,1602.6590098727156,1033.5026011707669
0.004266489969548346,15667.47199773841,9540.000342985863,6031.359059044312,2883.314666047457,1654.4426477396432,1066.912667450616
0.0044638555798087115,16163.203737660058,9841.928233415103,6222.294671883475,2974.640832882119,1706.8727055081042,1100.7407861252889
0.00467035122070116,16664.122373990544,10147.022929864,6415.23725268986,3066.9305267671466,1759.8577050688355,1134.9279346874303
