z,H_z_km_s_Mpc,E_z,q_z
0.67,106.29771492514361,1.6217516961651324,-0.05813284340743052
0.68,106.89709292459534,1.6308962228178403,-0.05820129002524932
0.6900000000000001,107.4962193433722,1.6400369111812068,-0.0582711552635633
0.7000000000000001,108.09509439579014,1.6491737645249849,-0.05834229657182832
0.71,108.69371839176236,1.6583067875774256,-0.058414434251202185
0.72,109.29209186994558,1.6674359885566492,-0.058487293785514094
0.73,109.89021545928699,1.676561377058311,-0.05856074807433198
0.74,110.48808983191749,1.6856829633369057,-0.05863461858314567
0.75,111.085715817352,1.694800760048089,-0.05870839942884487
0.76,111.6830947068787,1.7039147868926494,-0.05878160897740603
0.77,112.28022791958973,1.713025065521241,-0.058854108934634164
0.78,112.87711690304353,1.7221316180188195,-0.05892570387037377
0.79,113.47376330699345,1.7312344695551674,-0.058995599877762595
0.8,114.07016957277538,1.7403336573769987,-0.059062989041160585
0.81,114.66633836282745,1.7494292221043168,-0.05912768588212858
0.8200000000000001,115.26227234556612,1.758521204448335,-0.05918954398149823
0.8300000000000001,115.85797436289924,1.7676096477671712,-0.059247483895678354
0.84,116.45344845008913,1.7766946136255874,-0.05930017238837315
0.85,117.04869913873787,1.7857761711608493,-0.0593472420081127
0.86,117.64373093539736,1.7948543891280395,-0.05938867419646221
0.87,118.23854840360862,1.8039293371517067,-0.05942328850129597
0.88,118.83315755800888,1.8130011069953296,-0.05944899623195399
0.89,119.42756562240548,1.8220698088703253,-0.0594648858327701
0.9,120.02177978730504,1.8311355524800523,-0.059471059148347716
0.91,120.61580717568353,1.8401984464975745,-0.059466693051231756
0.92,121.20965605032347,1.8492586169856353,-0.059448902484873556
0.93,121.8033372198611,1.858316228848289,-0.05941553870884253
0.9400000000000001,122.39686170446049,1.867371450216805,-0.05936658694894281
0.9500000000000001,122.99024038479335,1.8764244470942613,-0.059301969001891885
0.96,123.5834844342522,1.8854753899496863,-0.05921870595974843
0.97,124.17660855954433,1.894524503158812,-0.05911273644750881
0.98,124.76962912801332,1.903572036433188,-0.05898297962992216
0.99,125.36256229210764,1.9126182362057766,-0.058829846941162334
1.0,125.95542398827295,1.9216633456140506,-0.05865190341927473
1.01,126.54823227143045,1.9307076401164154,-0.05844359842828262
1.02,127.14101018113429,1.939751471220296,-0.05820076942086927
1.03,127.73378112943931,1.9487951961162453,-0.05792350105430655
1.04,128.32656818154138,1.957839166702897,-0.05761221634086833
1.05,128.91939434868098,1.966883734055702,-0.057262854999886814
1.06,129.5122879551548,1.975929330309784,-0.05686756416846772
1.07,130.10528205318445,1.9849764597327706,-0.05642297451945366
1.08,130.6984093813973,1.9940256218078771,-0.05592988509035879
1.09,131.29170217992962,2.0030773084129927,-0.0553883521442331
1.1,131.8851933082515,2.0121320208749944,-0.054791088033223856
1.11,132.47892438619624,2.021190394174937,-0.054128149973215134
1.12,133.07294099511913,2.030253123733605,-0.05339712112937822
