ell,TT_total_muK2,EE_total_muK2,BB_total_muK2,TE_total_muK2,TT_unlensed_scalar_muK2,EE_unlensed_scalar_muK2,TE_unlensed_scalar_muK2,cl_phiphi,cl_phit_muK,cl_phie_muK
99,1.8083398400344741,0.000474365089843502,1.4103699265259236e-06,-0.01468521566083689,1.8069292034808455,0.0004732732864566053,-0.014691950160772873,5.61652792224934e-15,2.3350742415137022e-09,-7.108977302376201e-12
100,1.793373411606972,0.0004742420852234537,1.410797979777253e-06,-0.01481405683147907,1.7919827292893045,0.00047315861764528995,-0.014821298652725296,5.358219128712793e-15,2.2390002973157322e-09,-6.820078730846122e-12
101,1.7787756991773778,0.00047395556187256337,1.4111783375388974e-06,-0.014935721796723493,1.777405168934834,0.0004728803022241001,-0.014943477296506922,5.113805262859812e-15,2.1477825529288577e-09,-6.534457143560673e-12
102,1.764534181339388,0.00047350217984185413,1.4115144960793911e-06,-0.015050385980364985,1.763183996136072,0.0004724349724291265,-0.015058661188395167,4.8824288599727355e-15,2.0611168022392245e-09,-6.255484461207259e-12
103,1.7506281732264464,0.0004728921132142362,1.4118102995618782e-06,-0.015157914375661032,1.7492985206168379,0.0004718327743034261,-0.01516671498775231,4.663296236552376e-15,1.978721849448263e-09,-5.986145337646237e-12
104,1.7370467235144418,0.0004721178500835412,1.412069920482997e-06,-0.015258446429251206,1.735737785165183,0.0004710661677966558,-0.01526777780105622,4.455663615977171e-15,1.9003330530756465e-09,-5.729059868609063e-12
105,1.7237751528178356,0.00047118519722827174,1.412297837965323e-06,-0.015351992977626485,1.722487104086637,0.00047014093156158993,-0.01536186011848957,4.258840937307374e-15,1.825705691083459e-09,-5.486532169694483e-12
106,1.7107995365308954,0.0004700955880612415,1.4124988138888707e-06,-0.015438530324337299,1.7095325461028896,0.0004690584710277511,-0.015448937891277732,4.072184506605578e-15,1.7546101539503522e-09,-5.260570647671534e-12
107,1.6981066603335715,0.0004688545552617927,1.4126778672327931e-06,-0.015518164976346506,1.6968608899150164,0.00046782429115825586,-0.015529117268182933,3.895094000987031e-15,1.6868325747956842e-09,-5.052921504504603e-12
108,1.6856800138610086,0.00046745945774074465,1.4128402464089733e-06,-0.015590923499684257,1.684455617929832,0.000466435723538813,-0.015602424451312831,3.7270096377188666e-15,1.6221738233055286e-09,-4.865094380220465e-12
109,1.6735156832407305,0.0004659157852453836,1.4129913999774139e-06,-0.01565679853728651,1.6723128088529964,0.00046489823110555553,-0.01566885171412629,3.567409086189086e-15,1.5604472717300052e-09,-4.698381722873109e-12
110,1.6615983078124728,0.000464221139735749,1.4131369458500149e-06,-0.01571590472572708,1.6604170944634824,0.0004632093896420292,-0.01572851331834721,3.4158018418399116e-15,1.5014783178356317e-09,-4.55388103930891e-12
111,1.6499169754045098,0.0004623808724339366,1.4132826392580326e-06,-0.015768314874540976,1.6487575549428732,0.00046137452494628806,-0.015781481693484905,3.271732171611564e-15,1.4451084021177371e-09,-4.431835819233657e-12
112,1.6384644099721317,0.0004603998033681752,1.4134343397650646e-06,-0.01581398157202315,1.6373269065648102,0.0004593984324890859,-0.015827709042845754,3.13476985175778e-15,1.3912069188512791e-09,-4.329760027330927e-12
