a,z,n_a,E_tip,rho_de_eff_over_rhoc0,w_eff_ppf
3.31926620473319e-05,30126.140708811643,1.1563273236579461e-47,19221368.29852211,291372717927574.9,0.3235275766971124
3.3967385822722094e-05,29439.00475100034,1.5113092243665943e-47,18360869.81500789,265868439923184.34,0.3233055945053138
3.476019181541981e-05,28767.540901905915,1.9752673182798597e-47,17539030.162918556,242600356382679.12,0.3230787463987781
3.557150206821382e-05,28111.39171408467,2.5816562988951856e-47,16754109.329211868,221372145804646.6,0.3228469329962991
3.640174847446138e-05,27470.207892708142,3.3742011442934464e-47,16004445.691824302,202004739342178.3,0.3226100532200462
3.7251373008002096e-05,26843.64810961965,4.410050000468103e-47,15288452.486318672,184334803500648.56,0.32236800428131573
3.812082795843888e-05,26231.37882163124,5.763894970968368e-47,14604614.43183004,168213356353035.0,0.32212068166836616
3.9010576171909934e-05,25633.074092965147,7.533357951231408e-47,13951484.50912822,153504505518554.56,0.32186797913429177
3.9921091297480534e-05,25048.415421745023,9.846029864740399e-47,13327680.883937582,140084297185481.81,0.3216097886855398
4.0852858039285654e-05,24477.0915704444,1.2868670880229864e-46,12731883.968964528,127839666402982.03,0.3213460005720965
4.180637241455762e-05,23918.798400202373,1.68192350113334e-46,12162833.618378513,116667479727596.25,0.3210765032779743
4.278214201767613e-05,23373.238708918176,2.198258615822205e-46,11619326.448774299,106473662094994.27,0.32080118351279907
4.3780686290381665e-05,22840.122073038256,2.8731038830128045e-46,11100213.280912323,97172400503447.81,0.3205199262044214
4.48025367982949e-05,22319.164692952345,3.755120468160087e-46,10604396.696792025,88685417748278.66,0.3202326144929657
4.584823751389096e-05,21810.0892419152,4.9079080689586115e-46,10130828.70685702,80941310041798.4,0.31993912972545036
4.691834510607799e-05,21312.624718414376,6.414590907958642e-46,9678508.522367068,73874942896147.25,0.3196393514523379
4.801342923653455e-05,20826.506301905145,8.383811582924847e-46,9246480.428194793,67426900141468.2,0.31933315742488344
4.913407286296367e-05,20351.475211835757,1.0957564974373889e-45,8833831.751519132,61542981403305.32,0.31902042359403526
5.028087254942475e-05,19887.27856988812,1.4321437090996118e-45,8439690.922091806,56173743774804.69,0.3187010241109647
5.1454438783909244e-05,19433.669265360222,1.8717987146873718e-45,8063225.619947673,51274083794722.1,0.3183748313289243
5.265539630332755e-05,18990.405823619356,2.446423781387158e-45,7703641.006616911,46802856184622.31,0.3180417158066575
5.3884384426082236e-05,18557.252277555188,3.197453482136966e-45,7360178.036073345,42722526110852.766,0.3177015463138939
5.514205739240302e-05,18133.978041964954,4.1790424243802984e-45,7032111.841824377,38998852021617.34,0.3173541898382837
5.642908471262542e-05,17720.357790803584,5.4619701841911746e-45,6718750.196709279,35600596369113.79,0.3169995115942281
5.774615152359826e-05,17316.17133723353,7.138745019420883e-45,6419432.042127657,32499261763489.094,0.31663737503386824
5.909395895340977e-05,16921.203516410354,9.330274376049698e-45,6133526.083567703,29668850321301.41,0.3162676418600465
6.047322449462643e-05,16535.244070941822,1.2194583178911434e-44,5860429.449444992,27085644168099.586,0.3158901720408569
6.188468238624383e-05,16158.087538959191,1.593820855784456e-44,5599566.41039726,24728005234312.707,0.31550482382795053
6.332908400455115e-05,15789.533144741757,2.0831092650435768e-44,5350387.156309743,22576192647416.6,0.3151114537754438
6.480719826311971e-05,15429.384691835645,2.7226047358845826e-44,5112366.6284677675,20612196172688.67,0.31470991676182325
6.631981202212676e-05,15077.45045861051,3.5584194608755283e-44,4885003.4043515,18819584291071.824,0.31430006601525906
6.786773050723303e-05,14733.543096198342,4.650821653486787e-44,4667818.632699259,17183365626873.93,0.313881753140284
6.945177773823689e-05,14397.479528760097,6.078581316891464e-44,4460355.01657311,15689862551307.38,0.31345482814807224
7.107279696773412e-05,14069.080856026865,7.944650123997256e-44,4262175.842262379,14326595891173.965,0.31301913948921833
7.273165113001454e-05,13748.172258064205,1.0383584968639907e-43,4072864.0519587966,13082179766213.527,0.31257453408924607
7.442922330043758e-05,13434.582902208263,1.35712504790226e-43,3892021.358229447,11946225664545.35,0.31212085738798123
7.616641716552892e-05,13128.145852124653,1.7737500113941448e-43,3719267.398403387,10909254943989.59,0.31165795338112434
7.794415750404951e-05,12828.697978941475,2.3182750239440874e-43,3554238.927072315,9962619018509.023,0.3111856646656861
7.97633906792928e-05,12536.079874409197,3.0299642295245086e-43,3396589.0449870084,9098426554179.332,0.3107038324887601
8.162508514287237e-05,12250.135766041178,3.960135504793963e-43,3245986.4627086367,8309477058526.516,0.3102122967995531
8.35302319502677e-05,11970.713434189682,5.175860844664305e-43,3102114.797448135,7589200301270.616,0.30971089630543247
8.547984528840405e-05,11697.664131013082,6.76480273235588e-43,2964671.901597287,6931601053943.808,0.3091994685312329
8.747496301554415e-05,11430.842501291503,8.841535230775265e-43,2833369.2215230046,6331208680932.759,0.30867784988261815
8.951664721378302e-05,11170.106505048241,1.1555805591069469e-42,2707931.1852601673,5783031155604.755,0.3081458757136488
9.16059847544371e-05,10915.317341936148,1.5103332099360208e-42,2588094.617800425,5282513112674.531,0.3076033803977982
9.374408787663e-05,10666.33937734857,1.973991676355761e-42,2473608.1827327856,4825497582162.352,0.30705019740382045
9.59320947793825e-05,10423.040070215558,2.5799890465805777e-42,2364231.849048038,4408191081480.776,0.30648615937551926
9.817117022752184e-05,10185.289902446886,3.3720220607840035e-42,2259736.381972576,4027131770629.779,0.3059110982155744
0.00010046250617173403,9952.962309984243,4.407201958273554e-42,2159902.856748328,3679160401419.487,0.3053248451748989
0.00010280732238308647,9725.933615426178,5.760172605897562e-42,2064522.1943244697,3361393815297.9307,0.3047272309453699
0.00010520686710236228,9504.082962189512,7.52849285416688e-42,1973394.7179729727,3071200765936.503,0.3041180857578638
0.00010766241770454933,9287.292250172499,9.839671227423236e-42,1886329.7298848673,2806179862404.957,0.30349723948525775
0.00011017528137883873,9075.446072885357,1.286036019947777e-41,1803145.1068464438,2564139446714.2393,0.3028645217497872
0.00011274679582449473,8868.431656014704,1.68083730276853e-41,1723666.9141352887,2343079235874.036,0.3022197620358231
0.00011537832996296608,8666.138797389234,2.196838964504965e-41,1647729.0368148363,2141173573540.5498,0.30156278980715956
0.0001180712846666189,8468.459808314594,2.871248411739852e-41,1575172.8276431102,1956756149945.489,0.30089343463021123
0.0001208270935044776,8275.289456246352,3.752695384195557e-41,1505846.7708467604,1788306061215.5547,0.3002115263014957
0.0001236472235053715,8086.524908770458,4.904738506421707e-41,1439606.1610451955,1634435090517.4395,0.29951689498094924
0.0001265331759388943,7902.065678861347,6.410448318744296e-41,1376312.7966418725,1493876103793.4026,0.2988093713305109
0.0001294864871145905,7721.813571388642,8.378397256752404e-41,1315834.6870306514,1365472462274.185,0.29808878665774796
0.0001325087291997954,7545.6726308438865,1.0950488499641598e-40,1258045.7729944396,1248168362548.9604,0.2973549730652014
0.00013560151105656334,7373.549090259554,1.4312188203315325e-40,1202825.6597015008,1141000022809.7847,0.29660776360507657
